UserId,Name,Email,Password,Payment Methods,Crypto Wallet Address,Education,Genre,Subgenres,Location,Website,Social Media,Discography (Count),NFTs (Count),Achievements,Collaboration (Y/N),Collaboration Type,Services Provided,Services Sought,Deals Participated,Deals Completed,Post Links,Likes Count,Comments Count,Opportunities Raised,Payment History,Reviews,Rank
ART692,Christopher Watkins,xcallahan@example.org,[Hashed Password],Cash on Delivery,Bitcoin Cash,Music Academy,Jazz,Fusion,"Josephport, Saint Vincent and the Grenadines",https://kalakrut.com/Christopher Watkins,Fb,6,3,Featured in Magazine,Yes,lyrics,Vocals,Feature Verse,3,2,12,7218408,6436512,5,2,6,720
ART976,Victoria Coffey,jacquelineberry@example.com,[Hashed Password],Cash on Delivery,SwiftCoin,Self-Taught,Classical,Chamber,"Angelafurt, Iraq",https://kalakrut.com/Victoria Coffey,LinkedIn,10,0,Featured in Magazine,No,concept,Songwriting,Mixing & Mastering,5,5,15,5221545,389250,3,10,3,230
ART2502,Hannah Maxwell,fgeorge@example.org,[Hashed Password],Stripe,BlackCoin,Self-Taught,Hip-Hop,Boom Bap,"Moorefort, France",https://kalakrut.com/Hannah Maxwell,SubStack,9,3,Featured in Magazine,No,concept,Vocals,Mixing & Mastering,2,1,9,4991580,377766,3,2,5,49
ART1881,Adam Davis,brownmorgan@example.net,[Hashed Password],Paypal,MazaCoin,Online Course,Hip-Hop,Conscious Rap,"Lake Meaganshire, Germany",https://kalakrut.com/Adam Davis,Insta,6,5,Featured in Magazine,Yes,PR,Music Production,Session Musician,2,2,6,1994160,893016,2,9,4,166
ART8736,Raymond Murillo,hmitchell@example.net,[Hashed Password],Debit Card,Dogecoin,Online Course,Indian,Folk,"East Morgan, Romania",https://kalakrut.com/Raymond Murillo,YouTube,10,1,Won Award,Yes,script,Vocals,Mixing & Mastering,3,3,8,6062200,3409568,2,1,9,593
ART4027,Amy Smith,norma59@example.com,[Hashed Password],Cash on Delivery,Dash,Self-Taught,Hip-Hop,Boom Bap,"Bradfordshire, Portugal",https://kalakrut.com/Amy Smith,SubStack,1,4,,Yes,event,Songwriting,Feature Verse,0,0,5,202690,85575,4,6,8,188
ART2336,Nicholas King,cory59@example.org,[Hashed Password],Credit Card,AMP,Self-Taught,World,Contemporary,"North Daniel, Tanzania",https://kalakrut.com/Nicholas King,Twitter,4,3,Featured in Magazine,Yes,event,Music Production,Mixing & Mastering,5,3,9,771318,599022,3,7,5,16
ART9127,Connor Thomas,charlesmeyer@example.org,[Hashed Password],Credit Card,BlackCoin,Music Academy,Hip-Hop,Conscious Rap,"Lake Mark, Myanmar",https://kalakrut.com/Connor Thomas,Insta,5,5,,No,design,Vocals,Mixing & Mastering,6,2,11,4585163,2014331,0,4,3,447
ART933,Mary Frye,joseph09@example.com,[Hashed Password],Paypal,Titcoin,Music Academy,Electronic,EDM,"Harrisland, Mexico",https://kalakrut.com/Mary Frye,Fb,9,2,Won Award,No,business,Music Production,Feature Verse,9,2,20,17922560,33107140,1,7,3,455
ART2303,Dr. Alexis Henson,gjackson@example.com,[Hashed Password],Credit Card,Ubiq,Self-Taught,Indian,Sufi,"Livingstonberg, Tonga",https://kalakrut.com/Dr. Alexis Henson,Twitter,1,3,,No,lyrics,Songwriting,Mixing & Mastering,7,1,20,6368660,892800,5,8,9,975
ART3586,Brett Allen,steven34@example.com,[Hashed Password],Paypal,MazaCoin,Self-Taught,Classical,Opera,"Bensontown, Niue",https://kalakrut.com/Brett Allen,Insta,10,2,,Yes,production,Songwriting,Feature Verse,3,3,17,3442126,297296,2,1,2,235
ART6068,Marissa Lee,samanthahaney@example.org,[Hashed Password],Debit Card,Omni,Online Course,Pop,K-Pop,"Garyville, Tunisia",https://kalakrut.com/Marissa Lee,LinkedIn,7,4,Featured in Magazine,Yes,business,Music Production,Session Musician,7,1,7,113085,55720,0,1,6,852
ART2191,Kelly Conner,halejohnny@example.org,[Hashed Password],Credit Card,Lisk,Self-Taught,Electronic,EDM,"West Timothy, South Georgia and the South Sandwich Islands",https://kalakrut.com/Kelly Conner,Fb,3,5,Featured in Magazine,No,choreography,Vocals,Mixing & Mastering,9,8,6,3419598,1084680,4,3,10,930
ART7581,Steven Walker,frankmartin@example.net,[Hashed Password],Stripe,Omni,Music Academy,Classical,Opera,"Lake Sarahfurt, Cocos (Keeling) Islands",https://kalakrut.com/Steven Walker,LinkedIn,8,4,Featured in Magazine,Yes,business,Music Production,Session Musician,10,5,3,1120449,209865,4,7,8,484
ART9261,Courtney Williams,rachael08@example.com,[Hashed Password],Debit Card,Bitcoin Cash,Self-Taught,Classical,Chamber,"South Amy, Equatorial Guinea",https://kalakrut.com/Courtney Williams,SubStack,3,1,Won Award,No,business,Vocals,Session Musician,1,1,1,192778,4461,0,4,4,702
ART8577,Albert Jones,bjackson@example.net,[Hashed Password],Credit Card,EOS.IO,Online Course,World,Contemporary,"Lake Nicolestad, French Southern Territories",https://kalakrut.com/Albert Jones,Insta,9,4,,Yes,event,Songwriting,Session Musician,6,6,18,15114114,12525084,0,2,10,172
ART4601,Roberta Jones,yblevins@example.com,[Hashed Password],Cash on Delivery,Monero,Self-Taught,World,Contemporary,"South Gordon, Pitcairn Islands",https://kalakrut.com/Roberta Jones,Twitter,6,4,Won Award,No,event,Songwriting,Session Musician,6,3,20,5843180,7858420,3,2,7,230
ART4378,Kyle Smith,ryan41@example.org,[Hashed Password],Stripe,Bitcoin Cash,Music Academy,Pop,Pop Rock,"Lake Michaelchester, Angola",https://kalakrut.com/Kyle Smith,Twitter,6,5,,Yes,production,Music Production,Session Musician,7,6,2,1826014,257658,2,1,3,422
ART4425,Rachel Estrada,proctormichelle@example.org,[Hashed Password],Cash on Delivery,Bytecoin,Online Course,Indian,Instrumental,"Derekside, Cote d'Ivoire",https://kalakrut.com/Rachel Estrada,YouTube,4,0,Won Award,No,design,Vocals,Session Musician,3,2,6,5790558,1691406,2,5,3,75
ART7411,Jose Pearson,stephen19@example.org,[Hashed Password],Stripe,Zclassic,Online Course,Jazz,Fusion,"West Marc, Saint Pierre and Miquelon",https://kalakrut.com/Jose Pearson,Twitter,10,3,,No,production,Music Production,Feature Verse,6,6,3,2316981,290088,2,10,5,157
ART6783,Christopher Stevens,gregory11@example.org,[Hashed Password],Cash on Delivery,Titcoin,Self-Taught,Jazz,Smooth Jazz,"Matthewport, Zimbabwe",https://kalakrut.com/Christopher Stevens,SubStack,10,4,Featured in Magazine,No,design,Vocals,Feature Verse,4,4,12,7234464,6871632,4,7,9,105
ART5231,Francisco Farmer,howardjacob@example.net,[Hashed Password],Paypal,NEO,Online Course,Pop,Dance Pop,"West Justinside, Reunion",https://kalakrut.com/Francisco Farmer,LinkedIn,8,5,Won Award,Yes,business,Vocals,Session Musician,8,1,17,1917957,2345218,0,5,10,941
ART1135,Randall Miller,bryanthornton@example.com,[Hashed Password],Paypal,Zclassic,Online Course,Hip-Hop,Trap,"Lake Donaldside, Greece",https://kalakrut.com/Randall Miller,Twitter,6,1,,No,concept,Music Production,Session Musician,7,0,14,1984990,2121868,3,8,4,185
ART3046,Eric Robinson,vmoore@example.net,[Hashed Password],Stripe,DigitalNote,Self-Taught,Indian,Bollywood,"Mcintoshton, Greenland",https://kalakrut.com/Eric Robinson,YouTube,4,3,Featured in Magazine,Yes,business,Songwriting,Mixing & Mastering,1,0,9,8842077,1225071,1,9,6,78
ART6447,Sarah Gibson,kclark@example.org,[Hashed Password],Paypal,Bitcoin Cash,Online Course,Hip-Hop,Trap,"Molinaland, Kyrgyz Republic",https://kalakrut.com/Sarah Gibson,SubStack,7,4,Featured in Magazine,Yes,design,Music Production,Mixing & Mastering,6,5,16,13597136,9029456,5,1,4,557
ART8456,Jennifer Sawyer,frankjohnson@example.com,[Hashed Password],Stripe,NEO,Music Academy,Rock,Metal,"South Rebecca, Solomon Islands",https://kalakrut.com/Jennifer Sawyer,SubStack,10,0,Won Award,No,concept,Vocals,Mixing & Mastering,2,0,18,5120190,8700948,4,1,6,76
ART5186,Eric Mason,ojohnson@example.com,[Hashed Password],Stripe,Gridcoin,Self-Taught,Rock,Metal,"Hessshire, United States of America",https://kalakrut.com/Eric Mason,SubStack,9,1,,No,concept,Music Production,Mixing & Mastering,5,3,12,8315664,423096,5,2,8,597
ART2624,Victoria Swanson,burkederek@example.net,[Hashed Password],Paypal,Vertcoin,Music Academy,Jazz,Bebop,"Port Nicholasmouth, Norway",https://kalakrut.com/Victoria Swanson,SubStack,1,0,,No,production,Songwriting,Mixing & Mastering,6,3,13,8863439,8553051,2,10,2,753
ART9186,Randy Richards,alexanderjohnson@example.com,[Hashed Password],Cash on Delivery,MazaCoin,Music Academy,Hip-Hop,Conscious Rap,"Matthewfurt, New Zealand",https://kalakrut.com/Randy Richards,Fb,2,1,Won Award,No,business,Vocals,Session Musician,4,0,16,8040432,125360,1,7,4,891
ART2137,Brittany Young,qbautista@example.org,[Hashed Password],Debit Card,Tether,Online Course,Electronic,EDM,"Wallstown, Saudi Arabia",https://kalakrut.com/Brittany Young,Insta,4,4,,No,business,Vocals,Session Musician,6,1,8,2598808,848776,3,2,5,78
ART1786,Brenda Rios,emily42@example.org,[Hashed Password],Paypal,DigitalNote,Self-Taught,Classical,Chamber,"Michaelfort, Dominica",https://kalakrut.com/Brenda Rios,Insta,9,5,Won Award,Yes,PR,Songwriting,Mixing & Mastering,4,3,5,4417150,620030,0,8,5,623
ART8828,Yvette Waters,yking@example.net,[Hashed Password],Debit Card,AMP,Music Academy,World,Folk,"Tammyshire, Nigeria",https://kalakrut.com/Yvette Waters,SubStack,6,5,Featured in Magazine,No,script,Music Production,Feature Verse,5,2,19,82916,108015,1,8,2,24
ART712,Robert Andrade,bgray@example.net,[Hashed Password],Paypal,Cardano,Self-Taught,Rock,Metal,"Lake Lauren, Grenada",https://kalakrut.com/Robert Andrade,Fb,6,5,Featured in Magazine,Yes,lyrics,Music Production,Feature Verse,4,2,17,14099562,11936771,0,5,8,691
ART9875,David Martin,fdavis@example.net,[Hashed Password],Paypal,SwiftCoin,Online Course,Rock,Alternative,"North Colleen, Luxembourg",https://kalakrut.com/David Martin,LinkedIn,7,1,Won Award,No,concept,Songwriting,Feature Verse,1,0,9,5796342,3116925,2,8,5,561
